Name,Code,Population,Incubation_Period,Symptoms_To_Hospital,Symptoms_To_Death,Hospital_To_Death,Infectious_Period,Hospital_To_NonInfectious,Death_To_Burial,Beta_I,Beta_H,Beta_F,Percent_Hospitalized,Fatality_Rate,Initial_Infected
Papua New Guinea,GIN,7321262,11.4,5,7.5,4.2,10,4.6,2,0.11,0.33,0.15,0.80,0.66,
Liberia,LBR,4294077,11.4,5,7.5,4.2,10,4.6,2,0.11,0.33,0.15,0.80,0.45,
Sierra Leone,WAL,6092075,11.4,5,7.5,4.2,10,4.6,2,0.11,0.33,0.15,0.80,0.32,
Nigeria,WAN,173615345,11.4,5,7.5,4.2,10,4.6,2,0.11,0.33,0.15,0.80,0.40,
Senegal,SEN,14133280,11.4,5,7.5,4.2,10,4.6,2,0.11,0.33,0.15,0.80,0.50,
Mali,RMM,15301650,11.4,5,7.5,4.2,10,4.6,2,0.10,0.30,0.13,0.82,0.36,
Turkey,AAA,74932641,11.4,5,7.5,4.2,10,4.6,2,0.05,0.17,0.07,0.91,0.39,
Qatar,AAA,2168673,11.4,5,7.5,4.2,10,4.6,2,0.00,0.02,0.00,1.00,0.20,
Italy,AAA,60233948,11.4,5,7.5,4.2,10,4.6,2,0.00,0.03,0.00,1.00,0.23,
Mauritania,AAA,3889880,11.4,5,7.5,4.2,10,4.6,2,0.07,0.21,0.09,0.88,0.27,
Solomon Islands,AAA,561231,11.4,5,7.5,4.2,10,4.6,2,0.11,0.33,0.15,0.80,0.62,
Guinea,AAA,11745189,11.4,5,7.5,4.2,10,4.6,2,0.12,0.35,0.16,0.79,0.50,
France,AAA,65939866,11.4,5,7.5,4.2,10,4.6,2,0.00,0.03,0.00,1.00,0.25,
Ethiopia,AAA,94100756,11.4,5,7.5,4.2,10,4.6,2,0.10,0.30,0.14,0.82,0.51,
Rwanda,AAA,11776522,11.4,5,7.5,4.2,10,4.6,2,0.11,0.34,0.16,0.79,0.60,
Cameroon,AAA,22253959,11.4,5,7.5,4.2,10,4.6,2,0.14,0.40,0.18,0.75,0.60,
Burkina Faso,AAA,16934839,11.4,5,7.5,4.2,10,4.6,2,0.12,0.35,0.16,0.79,0.51,
Benin,AAA,10323474,11.4,5,7.5,4.2,10,4.6,2,0.11,0.33,0.15,0.80,0.50,
Ghana,AAA,25904598,11.4,5,7.5,4.2,10,4.6,2,0.10,0.31,0.14,0.81,0.49,
Saudi Arabia,AAA,28828870,11.4,5,7.5,4.2,10,4.6,2,0.05,0.16,0.06,0.91,0.39,
Australia,AAA,23129300,11.4,5,7.5,4.2,10,4.6,2,0.00,0.03,0.00,1.00,0.25,
Algeria,AAA,39208194,11.4,5,7.5,4.2,10,4.6,2,0.08,0.25,0.11,0.85,0.50,
Singapore,AAA,5399200,11.4,5,7.5,4.2,10,4.6,2,0.01,0.07,0.02,0.98,0.30,
Japan,AAA,127338621,11.4,5,7.5,4.2,10,4.6,2,0.00,0.03,0.00,1.00,0.25,
Cote d'Ivoire,AAA,20316086,11.4,5,7.5,4.2,10,4.6,2,0.15,0.43,0.20,0.73,0.61,
Togo,AAA,6816982,11.4,5,7.5,4.2,10,4.6,2,0.14,0.40,0.18,0.75,0.62,
Germany,AAA,80651873,11.4,5,7.5,4.2,10,4.6,2,0.00,0.03,0.00,1.00,0.25,
Belgium,AAA,11182817,11.4,5,7.5,4.2,10,4.6,2,0.00,0.03,0.00,1.00,0.25,
Jordan,AAA,6460000,11.4,5,7.5,4.2,10,4.6,2,0.06,0.19,0.08,0.89,0.44,
Spain,AAA,46617825,11.4,5,7.5,4.2,10,4.6,2,0.00,0.03,0.00,1.00,0.25,
Netherlands,AAA,16804432,11.4,5,7.5,4.2,10,4.6,2,0.00,0.03,0.00,1.00,0.25,
Philippines,AAA,98393574,11.4,5,7.5,4.2,10,4.6,2,0.10,0.29,0.13,0.83,0.55,
Indonesia,AAA,249865631,11.4,5,7.5,4.2,10,4.6,2,0.08,0.24,0.11,0.86,0.44,
United States,AAA,316128839,11.4,5,7.5,4.2,10,4.6,2,0.00,0.03,0.00,1.00,0.25,
Morocco,AAA,33008150,11.4,5,7.5,4.2,10,4.6,2,0.08,0.24,0.10,0.86,0.46,
Gabon,AAA,1671711,11.4,5,7.5,4.2,10,4.6,2,0.11,0.33,0.15,0.80,0.60,
Guinea-Bissau,AAA,1704255,11.4,5,7.5,4.2,10,4.6,2,0.10,0.31,0.14,0.81,0.40,
Sudan,AAA,37964306,11.4,5,7.5,4.2,10,4.6,2,0.10,0.29,0.13,0.82,0.46,
Portugal,AAA,10457295,11.4,5,7.5,4.2,10,4.6,2,0.02,0.08,0.02,0.97,0.31,
Chad,AAA,12825314,11.4,5,7.5,4.2,10,4.6,2,0.11,0.32,0.14,0.81,0.36,
Equatorial Guinea,AAA,757014,11.4,5,7.5,4.2,10,4.6,2,0.13,0.38,0.17,0.77,0.54,
United Arab Emirates,AAA,9346129,11.4,5,7.5,4.2,10,4.6,2,0.05,0.16,0.06,0.91,0.42,
South Africa,AAA,53157490,11.4,5,7.5,4.2,10,4.6,2,0.17,0.51,0.24,0.68,0.89,
Lebanon,AAA,4467390,11.4,5,7.5,4.2,10,4.6,2,0.02,0.09,0.03,0.96,0.30,
United Kingdom,AAA,64106779,11.4,5,7.5,4.2,10,4.6,2,0.00,0.03,0.00,1.00,0.25,
Tunisia,AAA,10886500,11.4,5,7.5,4.2,10,4.6,2,0.08,0.24,0.11,0.86,0.53,
Kenya,AAA,44353691,11.4,5,7.5,4.2,10,4.6,2,0.11,0.33,0.15,0.80,0.53,
Niger,AAA,17831270,11.4,5,7.5,4.2,10,4.6,2,0.11,0.33,0.15,0.80,0.48,
Fiji,AAA,881065,11.4,5,7.5,4.2,10,4.6,2,0.10,0.31,0.14,0.82,0.60,
